,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,avera,33.19,-82.53,53.6,58,1,4.7,US,1609800415
117,mikhaylovskoye,51.82,79.72,-17.73,87,39,5.79,RU,1609800415
118,kolbermoor,47.85,12.07,30.0,88,89,2.28,DE,1609800415
119,cabo san lucas,22.89,-109.91,75.99,49,5,4.7,MX,1609800242
120,berdigestyakh,62.1,126.7,-40.52,80,99,3.98,RU,1609800415
121,poum,-20.23,164.02,81.86,82,90,8.72,NC,1609800152
122,quatre cocos,-20.21,57.76,77.0,88,40,8.05,MU,1609800415
123,utete,-7.99,38.76,73.26,97,20,1.32,TZ,1609800416
124,muros,42.78,-9.06,34.0,95,5,7.43,ES,1609800416
125,vestmannaeyjar,63.44,-20.27,41.76,72,99,14.23,IS,1609800416
126,salaga,8.55,-0.52,85.5,36,0,2.59,GH,1609800416
127,pisco,-13.7,-76.22,75.2,73,0,20.8,PE,1609800416
128,mattru,7.62,-11.83,76.3,91,59,1.68,SL,1609800416
129,ilulissat,69.22,-51.1,14.45,95,100,8.16,GL,1609800416
130,bull savanna,17.89,-77.59,74.1,74,2,10.04,JM,1609800416
131,coolum beach,-26.53,153.1,82.99,79,100,1.81,AU,1609800416
132,bartica,6.4,-58.62,77.0,94,40,6.93,GY,1609800416
133,naze,28.37,129.48,64.4,100,75,12.75,JP,1609800416
134,bombay,19.01,72.85,75.2,60,40,6.93,IN,1609800389
135,tiksi,71.69,128.87,-8.48,90,96,9.69,RU,1609800119
136,ahipara,-35.17,173.17,73.22,57,1,3.38,NZ,1609800417
137,brigantine,39.41,-74.36,41.0,86,90,6.93,US,1609800417
138,abonnema,4.71,6.79,77.0,83,20,6.38,NG,1609800417
139,willowmore,-33.29,23.49,69.4,75,91,8.03,ZA,1609800417
140,portland,45.52,-122.68,51.8,71,75,9.17,US,1609800265
141,isla vista,34.41,-119.86,70.0,52,40,3.36,US,1609800177
142,coihaique,-45.58,-72.07,71.6,26,0,8.05,CL,1609800417
143,nyirbeltek,47.7,22.13,44.6,93,75,5.82,HU,1609800417
144,la ronge,55.1,-105.28,10.4,78,1,3.36,CA,1609800417
145,ngunguru,-35.62,174.5,68.77,68,0,7.11,NZ,1609800417
146,hirara,24.8,125.28,68.0,94,75,18.34,JP,1609800417
147,bereda,43.27,-7.54,32.0,100,5,1.99,ES,1609800417
148,jalu,29.03,21.55,58.01,71,87,15.35,LY,1609800417
149,abu zabad,12.35,29.25,69.96,31,1,10.98,SD,1609800417
150,zhongxing,33.7,118.68,32.09,95,100,11.23,CN,1609800417
151,jijiga,9.35,42.8,57.15,45,5,7.07,ET,1609800417
152,ville-marie,47.33,-79.43,30.2,86,90,13.87,CA,1609800417
153,kaitangata,-46.28,169.85,60.01,81,100,1.99,NZ,1609800418
154,victoria,22.29,114.16,64.0,62,93,5.01,HK,1609800343
155,bar harbor,44.39,-68.2,32.0,92,90,11.41,US,1609800418
156,faanui,-16.48,-151.75,80.49,78,100,16.75,PF,1609800418
157,katsuura,35.13,140.3,42.01,65,75,5.82,JP,1609800254
158,esperance,-33.87,121.9,60.8,63,90,10.29,AU,1609800418
159,hofn,64.25,-15.21,36.88,75,100,5.53,IS,1609800418
160,ames,42.03,-93.62,37.4,74,1,12.75,US,1609800418
161,hueyapan,18.87,-98.67,84.2,26,40,5.82,MX,1609800418
162,faro,37.02,-7.93,44.6,100,0,7.4,PT,1609800418
163,zbarazh,49.66,25.78,42.48,88,100,17.78,UA,1609800418
164,grindavik,63.84,-22.43,35.6,93,75,13.87,IS,1609800418
165,hambantota,6.12,81.12,73.4,100,90,4.7,LK,1609800418
166,prokudskoye,55.01,82.46,-27.4,67,0,4.47,RU,1609800418
